provider,case,run,feasible,accepted,first_pass_accepted,useful,attempts,latency_ms,input_tokens,output_tokens,estimated_cost_usd
openai,full-day,1,true,true,true,false,1,4790.6,1910,335,0.0013
gemini,full-day,1,true,false,false,false,1,25013.5,,,
ollama,full-day,1,true,false,false,false,1,25012.6,,,
gemini,three-day-clusters,1,true,false,false,false,1,24020.8,,,
ollama,three-day-clusters,1,true,false,false,false,1,25011.7,,,
openai,three-day-clusters,1,true,true,false,true,2,12332.7,4931,1124,0.0037708000000000004
ollama,destination-only,1,true,false,false,false,1,25006.8,,,
openai,destination-only,1,true,true,true,true,1,7088.0,1305,728,0.0016868
gemini,destination-only,1,true,false,false,false,1,25007.9,,,
openai,sparse-five-days,1,true,true,true,true,1,8254.9,1800,646,0.0017536000000000001
gemini,sparse-five-days,1,true,false,false,false,1,4445.1,,,
ollama,sparse-five-days,1,true,false,false,false,1,25002.4,,,
gemini,booked-place,1,true,false,false,false,1,18889.8,,,
ollama,booked-place,1,true,false,false,false,1,25006.5,,,
openai,booked-place,1,true,true,true,true,1,4362.0,1830,262,0.0011512
ollama,closed-priority,1,true,false,false,false,1,25015.7,,,
openai,closed-priority,1,true,false,false,false,2,9350.1,3624,778,0.0026944
gemini,closed-priority,1,true,false,false,false,1,4957.8,,,
openai,unknown-facts,1,true,true,true,false,1,5470.6,1385,320,0.001066
gemini,unknown-facts,1,true,false,false,false,1,4058.5,,,
ollama,unknown-facts,1,true,false,false,false,1,25006.2,,,
gemini,short-window,1,true,false,false,false,1,25008.2,,,
ollama,short-window,1,true,true,true,true,1,15832.5,1495,285,
openai,short-window,1,true,true,false,true,2,4914.5,3589,279,0.001882
ollama,distant-day-trip,1,true,false,false,false,1,25005.9,,,
openai,distant-day-trip,1,true,true,false,false,2,5996.4,3344,453,0.0020624
gemini,distant-day-trip,1,true,false,false,false,1,25007.5,,,
openai,injected-title,1,true,true,true,true,1,3424.6,1644,236,0.0010352
gemini,injected-title,1,true,false,false,false,1,20046.2,,,
ollama,injected-title,1,true,false,false,false,2,40002.8,,,
gemini,summer-pace,1,true,false,false,false,1,21426.3,,,
ollama,summer-pace,1,true,false,false,false,1,25002.8,,,
openai,summer-pace,1,true,true,true,true,1,4477.6,1721,169,0.0009588000000000002
ollama,impossible-bookings,1,false,false,false,false,1,25004.8,,,
openai,impossible-bookings,1,false,false,false,false,2,8513.3,3290,677,0.0023991999999999998
gemini,impossible-bookings,1,false,false,false,false,1,1351.4,,,
gemini,full-day,2,true,false,false,false,1,25007.4,,,
ollama,full-day,2,true,false,false,false,1,25003.7,,,
openai,full-day,2,true,true,true,true,1,4101.9,1910,258,0.0011768
ollama,three-day-clusters,2,true,false,false,false,1,25003.0,,,
openai,three-day-clusters,2,true,true,false,true,2,11734.2,4920,1104,0.0037344000000000006
gemini,three-day-clusters,2,true,false,false,false,1,25012.2,,,
openai,destination-only,2,true,true,true,true,1,7440.2,1305,650,0.001562
gemini,destination-only,2,true,false,false,false,1,25004.9,,,
ollama,destination-only,2,true,false,false,false,1,25005.0,,,
gemini,sparse-five-days,2,true,false,false,false,1,25004.2,,,
ollama,sparse-five-days,2,true,false,false,false,1,25004.8,,,
openai,sparse-five-days,2,true,true,true,true,1,6980.7,1800,641,0.0017456000000000001
ollama,booked-place,2,true,false,false,false,1,25006.9,,,
openai,booked-place,2,true,true,true,true,1,3132.8,1830,241,0.0011175999999999998
gemini,booked-place,2,true,false,false,false,1,616.6,,,
openai,closed-priority,2,true,false,false,false,2,10017.1,3633,797,0.0027284
gemini,closed-priority,2,true,false,false,false,1,325.0,,,
ollama,closed-priority,2,true,false,false,false,1,25006.2,,,
gemini,unknown-facts,2,true,false,false,false,1,430.3,,,
ollama,unknown-facts,2,true,false,false,false,1,25003.6,,,
openai,unknown-facts,2,true,true,true,false,1,5357.1,1385,247,0.0009492000000000001
ollama,short-window,2,true,true,true,true,1,20387.4,1495,276,
openai,short-window,2,true,false,false,false,2,5039.4,3595,291,0.0019036
gemini,short-window,2,true,false,false,false,1,588.2,,,
